"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","","","CAN","16","STD: 0x00000371   ff ff 00 00 80 4d 03 00"
"2","0.000020","","","CAN","16","STD: 0x00000140   00 02 00 40 00 00 0f 00"
"3","0.000029","","","CAN","16","STD: 0x00000144   c0 00 06 90 42 24 a0 00"
"4","0.000037","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"5","0.000044","","","CAN","16","STD: 0x00000156   01 80 00 00 00 00 00 05"
"6","0.000052","","","CAN","16","STD: 0x00000002   ff 81 70 05 f5 00 00 00"
"7","0.000059","","","CAN","16","STD: 0x000000d0   75 00 00 00 00 00 00 00"
"8","0.000066","","","CAN","12","STD: 0x000000d1   00 00 00 80"
"9","0.000075","","","CAN","16","STD: 0x000000d2   00 00 ff ff 10 00 00 00"
"10","0.000082","","","CAN","15","STD: 0x000000d3   00 46 c0 4e 00 00 00"
"11","0.000089","","","CAN","16","STD: 0x00000280   00 0b 00 00 00 00 00 00"
"12","0.000098","","","CAN","16","STD: 0x00000152   f1 b4 00 00 00 00 08 80"
"13","0.000106","","","CAN","16","STD: 0x00000140   00 03 00 40 00 00 0f 00"
"14","0.000113","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"15","0.003210","","","CAN","16","STD: 0x00000002   ff 81 70 07 f7 00 00 00"
"16","0.006790","","","CAN","16","STD: 0x00000370   ff ff 20 01 80 09 00 00"
"17","0.006818","","","CAN","16","STD: 0x00000371   ff ff 00 00 80 4d 03 00"
"18","0.008298","","","CAN","16","STD: 0x00000140   00 04 00 40 00 00 0f 00"
"19","0.008607","","","CAN","16","STD: 0x00000141   59 26 74 27 00 80 3f 00"
"20","0.008883","","","CAN","16","STD: 0x00000144   c0 00 06 90 42 24 a0 00"
"21","0.009183","","","CAN","16","STD: 0x00000282   98 d2 00 4d 50 01 2a 00"
"22","0.009390","","","CAN","16","STD: 0x00000156   01 80 00 00 00 00 00 05"
"23","0.013036","","","CAN","16","STD: 0x00000002   ff 81 70 09 f9 00 00 00"
